Best hyperparameters: {'node1': 21, 'node2': 7, 'LR': 9.05945733700551e-05, 'DROPOUT': 0.22914679037383173, 'batch_size': 64, 'weight_decay': 0.0004974777308695285, 'EARLY_STOP': 82}
Best trial value: 6.866953492164612

All trials:
Trial 69: {'node1': 25, 'node2': 3, 'LR': 8.342020954212138e-05, 'DROPOUT': 0.17814765323772055, 'batch_size': 64, 'weight_decay': 7.775443608552171e-05, 'EARLY_STOP': 47}, Value: 7.082643836736679
Trial 70: {'node1': 25, 'node2': 5, 'LR': 9.959815483301727e-05, 'DROPOUT': 0.15571087205039422, 'batch_size': 58, 'weight_decay': 5.287199099294452e-05, 'EARLY_STOP': 48}, Value: 8.606301426887512
Trial 71: {'node1': 30, 'node2': 3, 'LR': 7.05070826231569e-05, 'DROPOUT': 0.18425165826914264, 'batch_size': 64, 'weight_decay': 7.846260918787988e-05, 'EARLY_STOP': 31}, Value: 7.276229500770569
Trial 72: {'node1': 27, 'node2': 3, 'LR': 5.837362381659043e-05, 'DROPOUT': 0.21512024397900303, 'batch_size': 63, 'weight_decay': 9.741448099610301e-05, 'EARLY_STOP': 55}, Value: 9.37462317943573
Trial 73: {'node1': 25, 'node2': 6, 'LR': 7.695791816618273e-05, 'DROPOUT': 0.20334968736100248, 'batch_size': 61, 'weight_decay': 0.00011868791975311572, 'EARLY_STOP': 66}, Value: 9.400945901870728
Trial 74: {'node1': 17, 'node2': 7, 'LR': 8.620603745279688e-05, 'DROPOUT': 0.2424551379769939, 'batch_size': 64, 'weight_decay': 3.341042113227263e-05, 'EARLY_STOP': 36}, Value: 7.248006105422974
Trial 75: {'node1': 15, 'node2': 8, 'LR': 5.060018791447295e-05, 'DROPOUT': 0.26272820822656007, 'batch_size': 62, 'weight_decay': 9.130610339542538e-05, 'EARLY_STOP': 43}, Value: 8.91562283039093
Trial 76: {'node1': 19, 'node2': 9, 'LR': 1.7972749405932778e-06, 'DROPOUT': 0.17099740574290018, 'batch_size': 60, 'weight_decay': 0.00017097813203848327, 'EARLY_STOP': 84}, Value: 8.846400141716003
Trial 77: {'node1': 23, 'node2': 10, 'LR': 6.118013503974135e-05, 'DROPOUT': 0.2289950140215015, 'batch_size': 63, 'weight_decay': 0.00082495361620301, 'EARLY_STOP': 103}, Value: 9.248508095741272
Trial 78: {'node1': 20, 'node2': 5, 'LR': 2.9144131981554016e-05, 'DROPOUT': 0.2447377607782888, 'batch_size': 54, 'weight_decay': 6.39896105988895e-05, 'EARLY_STOP': 57}, Value: 8.762514352798462
Trial 79: {'node1': 22, 'node2': 8, 'LR': 4.277333373433302e-05, 'DROPOUT': 0.13057415396433314, 'batch_size': 61, 'weight_decay': 1.9359743977087797e-05, 'EARLY_STOP': 26}, Value: 9.18360686302185
Trial 80: {'node1': 14, 'node2': 9, 'LR': 3.5640709277857575e-05, 'DROPOUT': 0.05114067405891645, 'batch_size': 58, 'weight_decay': 0.00034781954119926615, 'EARLY_STOP': 70}, Value: 8.546894311904907
Trial 81: {'node1': 24, 'node2': 7, 'LR': 5.410073633133654e-05, 'DROPOUT': 0.21103357871618766, 'batch_size': 64, 'weight_decay': 0.0005594282694047614, 'EARLY_STOP': 79}, Value: 7.336434006690979
Trial 82: {'node1': 23, 'node2': 8, 'LR': 4.295287980078051e-05, 'DROPOUT': 0.18397748772306333, 'batch_size': 62, 'weight_decay': 0.00040903444673245535, 'EARLY_STOP': 86}, Value: 8.930246233940125
Trial 83: {'node1': 26, 'node2': 7, 'LR': 6.818281007710882e-05, 'DROPOUT': 0.28018772641536926, 'batch_size': 64, 'weight_decay': 0.0005096346579106613, 'EARLY_STOP': 94}, Value: 7.214446038007736
Trial 84: {'node1': 21, 'node2': 9, 'LR': 8.383925692660303e-05, 'DROPOUT': 0.2035788110104338, 'batch_size': 59, 'weight_decay': 0.0006586495705135472, 'EARLY_STOP': 49}, Value: 8.684627771377563
Trial 85: {'node1': 28, 'node2': 8, 'LR': 3.55148939730481e-05, 'DROPOUT': 0.2246726061355128, 'batch_size': 63, 'weight_decay': 7.805425799785184e-05, 'EARLY_STOP': 100}, Value: 9.450717568397522
Trial 86: {'node1': 18, 'node2': 10, 'LR': 4.830216380722444e-05, 'DROPOUT': 0.1609199794398563, 'batch_size': 61, 'weight_decay': 4.523770885701407e-05, 'EARLY_STOP': 82}, Value: 9.250184178352356
Trial 87: {'node1': 16, 'node2': 6, 'LR': 2.5946525046588863e-05, 'DROPOUT': 0.2627332957471669, 'batch_size': 60, 'weight_decay': 0.0008565059257421669, 'EARLY_STOP': 65}, Value: 8.885082721710205
